id,DCI,ATC,initiale_ATC,niveau_2,Name_Length,niveau_3,niveau_4,initiale_DCI,Longueur_ATC
73,Tramadol,N02AJ13,N,N02,8,N02A,N02AJ,T,7
74,Vidarabine,J05AB03,J,J05,10,J05A,J05AB,V,7
75,Betaxolol,S01ED02,S,S01,9,S01E,S01ED,B,7
76,Fluconazole,J01RA07,J,J01,11,J01R,J01RA,F,7
77,Troglitazone,A10BG01,A,A10,12,A10B,A10BG,T,7
78,Oseltamivir,J05AH02,J,J05,11,J05A,J05AH,O,7
79,Erythromycin,J01FA01,J,J01,12,J01F,J01FA,E,7
80,Hydroxocobalamin,B03BA53,B,B03,16,B03B,B03BA,H,7
81,Caffeine,R03DA20,R,R03,8,R03D,R03DA,C,7
82,Succinylcholine,M03AB01,M,M03,15,M03A,M03AB,S,7
83,Sildenafil,G01AE10,G,G01,10,G01A,G01AE,S,7
84,Dofetilide,C01BD04,C,C01,10,C01B,C01BD,D,7
85,Pyrimethamine,P01BD01,P,P01,13,P01B,P01BD,P,7
86,Reserpine,C02LA51,C,C02,9,C02L,C02LA,R,7
87,Azithromycin,J01RA07,J,J01,12,J01R,J01RA,A,7
88,Ticlopidine,B01AC05,B,B01,11,B01A,B01AC,T,7
89,Trospium,A03DA06,A,A03,8,A03D,A03DA,T,7
90,Adapalene,D10AD03,D,D10,9,D10A,D10AD,A,7
91,Midodrine,C01CA17,C,C01,9,C01C,C01CA,M,7
92,Remikiren,C09XA01,C,C09,9,C09X,C09XA,R,7
93,Pantoprazole,A02BD04,A,A02,12,A02B,A02BD,P,7
94,Torasemide,C03CA04,C,C03,10,C03C,C03CA,T,7
95,Citalopram,N06AB04,N,N06,10,N06A,N06AB,C,7
96,Eletriptan,N02CC06,N,N02,10,N02C,N02CC,E,7
97,Bethanidine,C02CC01,C,C02,11,C02C,C02CC,B,7
98,Moxifloxacin,S01AE07,S,S01,12,S01A,S01AE,M,7
99,Oxyphenonium,A03AB53,A,A03,12,A03A,A03AB,O,7
100,Nelfinavir,J05AE04,J,J05,10,J05A,J05AE,N,7
101,Glimepiride,A10BD04,A,A10,11,A10B,A10BD,G,7
102,Diflorasone,D07AC10,D,D07,11,D07A,D07AC,D,7
103,Indinavir,J05AE02,J,J05,9,J05A,J05AE,I,7
104,Gadodiamide,V08CA03,V,V08,11,V08C,V08CA,G,7
105,Lovastatin,C10AA02,C,C10,10,C10A,C10AA,L,7
106,Enflurane,N01AB04,N,N01,9,N01A,N01AB,E,7
107,Cefotiam,J01DC07,J,J01,8,J01D,J01DC,C,7
108,Pregabalin,N03AX16,N,N03,10,N03A,N03AX,P,7
109,Temazepam,N05CD07,N,N05,9,N05C,N05CD,T,7
110,Methyclothiazide,C03AA08,C,C03,16,C03A,C03AA,M,7
111,Aminosalicylic acid,J04AA02,J,J04,19,J04A,J04AA,A,7
112,Reboxetine,N06AX18,N,N06,10,N06A,N06AX,R,7
113,Milrinone,C01CE02,C,C01,9,C01C,C01CE,M,7
114,Pipobroman,L01AX02,L,L01,10,L01A,L01AX,P,7
115,Nevirapine,J05AG01,J,J05,10,J05A,J05AG,N,7
116,Oxiconazole,D01AC11,D,D01,11,D01A,D01AC,O,7
117,Alclometasone,D07AB10,D,D07,13,D07A,D07AB,A,7
118,Butalbital,N05CB01,N,N05,10,N05C,N05CB,B,7
119,Cladribine,L04AA40,L,L04,10,L04A,L04AA,C,7
120,Ranolazine,C01EB18,C,C01,10,C01E,C01EB,R,7
121,Mesalazine,A07EC02,A,A07,10,A07E,A07EC,M,7
122,Benzatropine,N04AC01,N,N04,12,N04A,N04AC,B,7
123,Ziprasidone,N05AE04,N,N05,11,N05A,N05AE,Z,7
124,Methysergide,N02CA04,N,N02,12,N02C,N02CA,M,7
125,Cabergoline,N04BC06,N,N04,11,N04B,N04BC,C,7
126,Idoxuridine,J05AB02,J,J05,11,J05A,J05AB,I,7
127,Dapsone,D10AX05,D,D10,7,D10A,D10AX,D,7
128,Terconazole,G01AG02,G,G01,11,G01A,G01AG,T,7
129,Phenytoin,N03AB02,N,N03,9,N03A,N03AB,P,7
130,Medrysone,S01BA08,S,S01,9,S01B,S01BA,M,7
131,Doxycycline,J01AA02,J,J01,11,J01A,J01AA,D,7
132,Diethylstilbestrol,L02AA04,L,L02,18,L02A,L02AA,D,7
133,Lymecycline,J01AA04,J,J01,11,J01A,J01AA,L,7
134,Clotrimazole,D01AC01,D,D01,12,D01A,D01AC,C,7
135,Calcium acetate,V03AE04,V,V03,15,V03A,V03AE,C,7
136,Sulfanilamide,G01AE10,G,G01,13,G01A,G01AE,S,7
137,Cycloserine,J04AB01,J,J04,11,J04A,J04AB,C,7
138,Anagrelide,L01XX35,L,L01,10,L01X,L01XX,A,7
139,Carmustine,L01AD01,L,L01,10,L01A,L01AD,C,7
140,Sulfisoxazole,J01EB05,J,J01,13,J01E,J01EB,S,7
141,Metoprolol,C07FB02,C,C07,10,C07F,C07FB,M,7
142,Dicoumarol,B01AA01,B,B01,10,B01A,B01AA,D,7
143,Cefmenoxime,J01DD05,J,J01,11,J01D,J01DD,C,7
144,Ropinirole,N04BC04,N,N04,10,N04B,N04BC,R,7
145,Chlorotrianisene,G03CA06,G,G03,16,G03C,G03CA,C,7
146,Isradipine,C08CA03,C,C08,10,C08C,C08CA,I,7
147,Diatrizoate,V08AA01,V,V08,11,V08A,V08AA,D,7
148,Betazole,V04CG02,V,V04,8,V04C,V04CG,B,7
149,Topiramate,N03AX11,N,N03,10,N03A,N03AX,T,7
150,Cefmetazole,J01DC09,J,J01,11,J01D,J01DC,C,7
151,Olmesartan,C09DA08,C,C09,10,C09D,C09DA,O,7
152,Amsacrine,L01XX01,L,L01,9,L01X,L01XX,A,7
153,Theophylline,R03DA54,R,R03,12,R03D,R03DA,T,7
154,Argatroban,B01AE03,B,B01,10,B01A,B01AE,A,7
155,Liothyronine,H03AA03,H,H03,12,H03A,H03AA,L,7
156,Disopyramide,C01BA03,C,C01,12,C01B,C01BA,D,7
157,Lidocaine,S01HA07,S,S01,9,S01H,S01HA,L,7
158,Pamidronic acid,M05BA03,M,M05,15,M05B,M05BA,P,7
159,Clemastine,D04AA14,D,D04,10,D04A,D04AA,C,7
160,Acarbose,A10BD17,A,A10,8,A10B,A10BD,A,7
161,Venlafaxine,N06AX16,N,N06,11,N06A,N06AX,V,7
162,Conjugated estrogens,G03CA57,G,G03,20,G03C,G03CA,C,7
163,Travoprost,S01EE04,S,S01,10,S01E,S01EE,T,7
164,Amcinonide,D07AC11,D,D07,10,D07A,D07AC,A,7
165,Atomoxetine,N06BA09,N,N06,11,N06B,N06BA,A,7
166,Bleomycin,L01DC01,L,L01,9,L01D,L01DC,B,7
167,Chlorambucil,L01AA02,L,L01,12,L01A,L01AA,C,7
168,Etomidate,N01AX07,N,N01,9,N01A,N01AX,E,7
169,Raltitrexed,L01BA03,L,L01,11,L01B,L01BA,R,7
170,Etonogestrel,G03AC08,G,G03,12,G03A,G03AC,E,7
171,Morphine,A07DA52,A,A07,8,A07D,A07DA,M,7
172,Ropivacaine,N01BB09,N,N01,11,N01B,N01BB,R,7
173,Bupivacaine,N01BB01,N,N01,11,N01B,N01BB,B,7
174,Dapiprazole,S01EX02,S,S01,11,S01E,S01EX,D,7
175,Penciclovir,D06BB06,D,D06,11,D06B,D06BB,P,7
176,Tenofovir disoproxil,J05AR09,J,J05,20,J05A,J05AR,T,7
177,Flucloxacillin,J01CR50,J,J01,14,J01C,J01CR,F,7
178,Tranexamic acid,B02AA02,B,B02,15,B02A,B02AA,T,7
179,Ertapenem,J01DH03,J,J01,9,J01D,J01DH,E,7
180,Desogestrel,G03AC09,G,G03,11,G03A,G03AC,D,7
181,Mitomycin,L01DC03,L,L01,9,L01D,L01DC,M,7
182,Talbutal,N05CA07,N,N05,8,N05C,N05CA,T,7
183,Bexarotene,L01XX25,L,L01,10,L01X,L01XX,B,7
184,Ibutilide,C01BD05,C,C01,9,C01B,C01BD,I,7
185,Vindesine,L01CA03,L,L01,9,L01C,L01CA,V,7
186,Chlorthalidone,G01AE10,G,G01,14,G01A,G01AE,C,7
187,Pentobarbital,N05CB01,N,N05,13,N05C,N05CB,P,7
188,Valproic acid,N03AG01,N,N03,13,N03A,N03AG,V,7
189,Capreomycin,J04AB30,J,J04,11,J04A,J04AB,C,7
190,Zolmitriptan,N02CC03,N,N02,12,N02C,N02CC,Z,7
191,Acetaminophen,N02BE71,N,N02,13,N02B,N02BE,A,7
192,Gefitinib,L01XE02,L,L01,9,L01X,L01XE,G,7
193,Codeine,N02AA79,N,N02,7,N02A,N02AA,C,7
194,Piperacillin,J01CA12,J,J01,12,J01C,J01CA,P,7
195,Dihydroergotamine,N02CA51,N,N02,17,N02C,N02CA,D,7
196,Amitriptyline,N06AA09,N,N06,13,N06A,N06AA,A,7
197,Floxuridine,L01BC09,L,L01,11,L01B,L01BC,F,7
198,Tolcapone,N04BX01,N,N04,9,N04B,N04BX,T,7
199,Fluorometholone,D07XB04,D,D07,15,D07X,D07XB,F,7
200,Nitroprusside,C02DD01,C,C02,13,C02D,C02DD,N,7
201,Calcium glucoheptonate,A12AA10,A,A12,22,A12A,A12AA,C,7
202,Hydromorphone,N02AA53,N,N02,13,N02A,N02AA,H,7
203,Indomethacin,S01CC02,S,S01,12,S01C,S01CC,I,7
204,Ethambutol,J04AK02,J,J04,10,J04A,J04AK,E,7
205,Metformin,A10BD23,A,A10,9,A10B,A10BD,M,7
206,Ipratropium,R03BB01,R,R03,11,R03B,R03BB,I,7
207,Methadone,N07BC02,N,N07,9,N07B,N07BC,M,7
208,Olanzapine,N05AH03,N,N05,10,N05A,N05AH,O,7
209,Atenolol,C07CB53,C,C07,8,C07C,C07CB,A,7
210,Nitrofural,D08AF01,D,D08,10,D08A,D08AF,N,7
211,Pimecrolimus,D11AH02,D,D11,12,D11A,D11AH,P,7
212,Omeprazole,A02BC01,A,A02,10,A02B,A02BC,O,7
213,Pyrazinamide,J04AK01,J,J04,12,J04A,J04AK,P,7
214,Metixene,N04AA03,N,N04,8,N04A,N04AA,M,7
215,Cetirizine,R06AE07,R,R06,10,R06A,R06AE,C,7
216,Terfenadine,R06AX12,R,R06,11,R06A,R06AX,T,7
217,Diltiazem,C08DB01,C,C08,9,C08D,C08DB,D,7
218,Protriptyline,N06AA11,N,N06,13,N06A,N06AA,P,7
219,Aminohippuric acid,V04CH30,V,V04,18,V04C,V04CH,A,7
220,Alfuzosin,G04CA01,G,G04,9,G04C,G04CA,A,7
221,Trimethadione,N03AC02,N,N03,13,N03A,N03AC,T,7
222,Nitisinone,A16AX04,A,A16,10,A16A,A16AX,N,7
223,Clobazam,N05BA09,N,N05,8,N05B,N05BA,C,7
224,Minoxidil,D11AX01,D,D11,9,D11A,D11AX,M,7
225,Megestrol acetate,G03FB04,G,G03,17,G03F,G03FB,M,7
226,Tioguanine,L01BB03,L,L01,10,L01B,L01BB,T,7
227,Methylergometrine,G02AC01,G,G02,17,G02A,G02AC,M,7
228,Buclizine,R06AE51,R,R06,9,R06A,R06AE,B,7
229,Aztreonam,J01DF01,J,J01,9,J01D,J01DF,A,7
230,Chlorzoxazone,M03BB03,M,M03,13,M03B,M03BB,C,7
231,Aminoglutethimide,L02BG01,L,L02,17,L02B,L02BG,A,7
232,Mefloquine,P01BF02,P,P01,10,P01B,P01BF,M,7
233,Sulfadiazine,J01EE06,J,J01,12,J01E,J01EE,S,7
234,Sapropterin,A16AX07,A,A16,11,A16A,A16AX,S,7
235,Vinorelbine,L01CA04,L,L01,11,L01C,L01CA,V,7
236,Anidulafungin,J02AX06,J,J02,13,J02A,J02AX,A,7
237,Clozapine,N05AH02,N,N05,9,N05A,N05AH,C,7
238,Sucralfate,A02BX02,A,A02,10,A02B,A02BX,S,7
239,Grepafloxacin,J01MA11,J,J01,13,J01M,J01MA,G,7
240,Doxylamine,R06AA09,R,R06,10,R06A,R06AA,D,7
241,Levonorgestrel,G03AB03,G,G03,14,G03A,G03AB,L,7
242,Norepinephrine,C01CA03,C,C01,14,C01C,C01CA,N,7
243,Cidofovir,J05AB12,J,J05,9,J05A,J05AB,C,7
244,Mirtazapine,N06AX11,N,N06,11,N06A,N06AX,M,7
245,Meprobamate,N05BC51,N,N05,11,N05B,N05BC,M,7
246,Thiethylperazine,R06AD03,R,R06,16,R06A,R06AD,T,7
247,Timolol,C07AA06,C,C07,7,C07A,C07AA,T,7
248,Treprostinil,B01AC21,B,B01,12,B01A,B01AC,T,7
249,Colestipol,C10AC02,C,C10,10,C10A,C10AC,C,7
250,Trihexyphenidyl,N04AA01,N,N04,15,N04A,N04AA,T,7
251,Palonosetron,A04AA55,A,A04,12,A04A,A04AA,P,7
252,Dydrogesterone,G03FA14,G,G03,14,G03F,G03FA,D,7
253,Mexiletine,C01BB02,C,C01,10,C01B,C01BB,M,7
254,Dexrazoxane,V03AF02,V,V03,11,V03A,V03AF,D,7
255,Amlodipine,C09XA54,C,C09,10,C09X,C09XA,A,7
256,Tacrine,N06DA01,N,N06,7,N06D,N06DA,T,7
257,Oxyphencyclimine,A03AA01,A,A03,16,A03A,A03AA,O,7
258,Triamterene,C03DB02,C,C03,11,C03D,C03DB,T,7
259,Valrubicin,L01DB09,L,L01,10,L01D,L01DB,V,7
260,Procyclidine,N04AA04,N,N04,12,N04A,N04AA,P,7
261,Phenylephrine,S01FB01,S,S01,13,S01F,S01FB,P,7
262,Carbimazole,H03BB01,H,H03,11,H03B,H03BB,C,7
263,Digoxin,C01AA05,C,C01,7,C01A,C01AA,D,7
264,Sulpiride,N05AL01,N,N05,9,N05A,N05AL,S,7
265,Profenamine,N04AA05,N,N04,11,N04A,N04AA,P,7
266,Nimodipine,C08CA06,C,C08,10,C08C,C08CA,N,7
267,Beclomethasone dipropionate,D07CC04,D,D07,27,D07C,D07CC,B,7
268,Carisoprodol,M03BA02,M,M03,12,M03B,M03BA,C,7
269,Progesterone,G03FA04,G,G03,12,G03F,G03FA,P,7
270,Phenylpropanolamine,R01BA51,R,R01,19,R01B,R01BA,P,7
271,Sorafenib,L01XE05,L,L01,9,L01X,L01XE,S,7
272,Zoledronic acid,M05BB08,M,M05,15,M05B,M05BB,Z,7
273,Griseofulvin,D01BA01,D,D01,12,D01B,D01BA,G,7
274,Nisoldipine,C08CA07,C,C08,11,C08C,C08CA,N,7
275,Eszopiclone,N05CF04,N,N05,11,N05C,N05CF,E,7
276,Ceruletide,V04CC04,V,V04,10,V04C,V04CC,C,7
277,Alprazolam,N05BA12,N,N05,10,N05B,N05BA,A,7
278,Dexbrompheniramine,R06AB06,R,R06,18,R06A,R06AB,D,7
279,Gentian violet cation,G01AX09,G,G01,21,G01A,G01AX,G,7
280,Loxapine,N05AH01,N,N05,8,N05A,N05AH,L,7
281,Remoxipride,N05AL04,N,N05,11,N05A,N05AL,R,7
282,Mupirocin,R01AX06,R,R01,9,R01A,R01AX,M,7
283,Carbamoylcholine,N07AB01,N,N07,16,N07A,N07AB,C,7
284,Rosiglitazone,A10BD04,A,A10,13,A10B,A10BD,R,7
285,Pramipexole,N04BC05,N,N04,11,N04B,N04BC,P,7
286,Acetohexamide,A10BB31,A,A10,13,A10B,A10BB,A,7
287,Ampicillin,J01CR50,J,J01,10,J01C,J01CR,A,7
288,Phenoxymethylpenicillin,J01CR50,J,J01,23,J01C,J01CR,P,7
289,Secobarbital,N05CB01,N,N05,12,N05C,N05CB,S,7
290,Miglustat,A16AX06,A,A16,9,A16A,A16AX,M,7
291,Promazine,N05AA03,N,N05,9,N05A,N05AA,P,7
292,Spironolactone,C03DA01,C,C03,14,C03D,C03DA,S,7
293,Methylphenidate,N06BA04,N,N06,15,N06B,N06BA,M,7
294,Methocarbamol,M03BA73,M,M03,13,M03B,M03BA,M,7
295,Hyoscyamine,A03BA03,A,A03,11,A03B,A03BA,H,7
296,Zolpidem,N05CF02,N,N05,8,N05C,N05CF,Z,7
297,Famciclovir,J05AB09,J,J05,11,J05A,J05AB,F,7
298,Triprolidine,R06AX07,R,R06,12,R06A,R06AX,T,7
299,Streptozocin,L01AD04,L,L01,12,L01A,L01AD,S,7
300,Carboprost tromethamine,G02AD04,G,G02,23,G02A,G02AD,C,7
301,Cefpiramide,J01DD11,J,J01,11,J01D,J01DD,C,7
302,Lindane,P03AB02,P,P03,7,P03A,P03AB,L,7
303,Trifluridine,L01BC59,L,L01,12,L01B,L01BC,T,7
304,Prochlorperazine,N05AB04,N,N05,16,N05A,N05AB,P,7
305,Cyproheptadine,R06AX02,R,R06,14,R06A,R06AX,C,7
306,Nitric Oxide,R07AX01,R,R07,12,R07A,R07AX,N,7
307,Bendroflumethiazide,C03AB01,C,C03,19,C03A,C03AB,B,7
308,Allopurinol,M04AA01,M,M04,11,M04A,M04AA,A,7
309,Ceftazidime,J01DD02,J,J01,11,J01D,J01DD,C,7
310,Cerivastatin,C10AA06,C,C10,12,C10A,C10AA,C,7
311,Trimethoprim,J04AM08,J,J04,12,J04A,J04AM,T,7
312,Gemcitabine,L01BC05,L,L01,11,L01B,L01BC,G,7
313,Entecavir,J05AF10,J,J05,9,J05A,J05AF,E,7
314,Betamethasone,R01AD06,R,R01,13,R01A,R01AD,B,7
315,Teniposide,L01CB02,L,L01,10,L01C,L01CB,T,7
316,Epirubicin,L01DB03,L,L01,10,L01D,L01DB,E,7
317,Chloramphenicol,S03AA08,S,S03,15,S03A,S03AA,C,7
318,Loracarbef,J01DC08,J,J01,10,J01D,J01DC,L,7
319,Lansoprazole,A02BC03,A,A02,12,A02B,A02BC,L,7
320,Dipivefrin,S01EA02,S,S01,10,S01E,S01EA,D,7
321,Droperidol,N05AD08,N,N05,10,N05A,N05AD,D,7
322,Levothyroxine,H03AA01,H,H03,13,H03A,H03AA,L,7
323,Framycetin,D09AA01,D,D09,10,D09A,D09AA,F,7
324,Clomocycline,J01AA11,J,J01,12,J01A,J01AA,C,7
325,Meperidine,N02AB02,N,N02,10,N02A,N02AB,M,7
326,Loratadine,R06AX13,R,R06,10,R06A,R06AX,L,7
327,Cefalotin,J01DB03,J,J01,9,J01D,J01DB,C,7
328,Prazosin,C02LE01,C,C02,8,C02L,C02LE,P,7
329,Imipramine,N06AA02,N,N06,10,N06A,N06AA,I,7
330,Acitretin,D05BB02,D,D05,9,D05B,D05BB,A,7
331,Verteporfin,S01LA01,S,S01,11,S01L,S01LA,V,7
332,Nabumetone,M01AX01,M,M01,10,M01A,M01AX,N,7
333,Metharbital,N03AA30,N,N03,11,N03A,N03AA,M,7
334,Sodium tetradecyl sulfate,C05BB04,C,C05,25,C05B,C05BB,S,7
335,Ketorolac,M01AB15,M,M01,9,M01A,M01AB,K,7
336,Enoxacin,J01MA04,J,J01,8,J01M,J01MA,E,7
337,Quinine,M09AA72,M,M09,7,M09A,M09AA,Q,7
338,Tenoxicam,M01AC02,M,M01,9,M01A,M01AC,T,7
339,Dronabinol,A04AD10,A,A04,10,A04A,A04AD,D,7
340,Montelukast,R03DC03,R,R03,11,R03D,R03DC,M,7
341,Fluoxetine,N06CA03,N,N06,10,N06C,N06CA,F,7
342,Methohexital,N05CB01,N,N05,12,N05C,N05CB,M,7
343,Chlordiazepoxide,N05BA02,N,N05,16,N05B,N05BA,C,7
344,Duloxetine,N06AX21,N,N06,10,N06A,N06AX,D,7
345,Chlorpromazine,N05AA01,N,N05,14,N05A,N05AA,C,7
346,Rimantadine,J05AC02,J,J05,11,J05A,J05AC,R,7
347,Amikacin,S01AA21,S,S01,8,S01A,S01AA,A,7
348,Lenalidomide,L04AX04,L,L04,12,L04A,L04AX,L,7
349,Raloxifene,G03XC01,G,G03,10,G03X,G03XC,R,7
350,Celecoxib,M01AH01,M,M01,9,M01A,M01AH,C,7
351,Brimonidine,D11AX21,D,D11,11,D11A,D11AX,B,7
352,Dicloxacillin,J01CR50,J,J01,13,J01C,J01CR,D,7
353,Nabilone,A04AD11,A,A04,8,A04A,A04AD,N,7
354,Pefloxacin,J01MA03,J,J01,10,J01M,J01MA,P,7
355,Altretamine,L01XX03,L,L01,11,L01X,L01XX,A,7
356,Sotalol,C07AA07,C,C07,7,C07A,C07AA,S,7
357,Buspirone,N05BE01,N,N05,9,N05B,N05BE,B,7
358,Miglitol,A10BF02,A,A10,8,A10B,A10BF,M,7
359,Fosinopril,C09BA09,C,C09,10,C09B,C09BA,F,7
360,Cefotaxime,J01DD01,J,J01,10,J01D,J01DD,C,7
361,Entacapone,N04BX02,N,N04,10,N04B,N04BX,E,7
362,Zidovudine,J05AR04,J,J05,10,J05A,J05AR,Z,7
363,Darifenacin,G04BD10,G,G04,11,G04B,G04BD,D,7
364,Oxycodone,N02AA56,N,N02,9,N02A,N02AA,O,7
365,Phenindione,B01AA02,B,B01,11,B01A,B01AA,P,7
366,Flutamide,L02BB01,L,L02,9,L02B,L02BB,F,7
367,Tolmetin,M01AB03,M,M01,8,M01A,M01AB,T,7
368,Cimetidine,A02BA51,A,A02,10,A02B,A02BA,C,7
369,Haloperidol,N05AD01,N,N05,11,N05A,N05AD,H,7
370,Ritonavir,J05AP53,J,J05,9,J05A,J05AP,R,7
371,Tridihexethyl,A03AB08,A,A03,13,A03A,A03AB,T,7
372,Nitazoxanide,P01AX11,P,P01,12,P01A,P01AX,N,7
373,Triflupromazine,N05AA05,N,N05,15,N05A,N05AA,T,7
374,Dextrothyroxine,C10AX01,C,C10,15,C10A,C10AX,D,7
375,Acetyldigitoxin,C01AA01,C,C01,15,C01A,C01AA,A,7
376,Vancomycin,J01XA01,J,J01,10,J01X,J01XA,V,7
377,Aminocaproic acid,B02AA01,B,B02,17,B02A,B02AA,A,7
378,Dextromethorphan,R05DA09,R,R05,16,R05D,R05DA,D,7
379,Cisplatin,L01XA01,L,L01,9,L01X,L01XA,C,7
380,Albendazole,P02CA03,P,P02,11,P02C,P02CA,A,7
381,Trandolapril,C09AA10,C,C09,12,C09A,C09AA,T,7
382,Caspofungin,J02AX04,J,J02,11,J02A,J02AX,C,7
383,Carteolol,S01ED55,S,S01,9,S01E,S01ED,C,7
384,Bentiromide,V04CK03,V,V04,11,V04C,V04CK,B,7
385,Alitretinoin,D11AH04,D,D11,12,D11A,D11AH,A,7
386,Metolazone,C03EA12,C,C03,10,C03E,C03EA,M,7
387,Tolnaftate,D01AE18,D,D01,10,D01A,D01AE,T,7
388,Oxaliplatin,L01XA03,L,L01,11,L01X,L01XA,O,7
389,Cinchocaine,D04AB02,D,D04,11,D04A,D04AB,C,7
390,Lercanidipine,C09DB08,C,C09,13,C09D,C09DB,L,7
391,Foscarnet,J05AD01,J,J05,9,J05A,J05AD,F,7
